author1	author2	#coauthor
Setsuo Ohsuga	Yoshitsugu Kakemoto	1
Jose E. Moreira	Manish Gupta	1
B. Aditya Prakash	Michalis Faloutsos	1
Norihiro Hagita	Michiko Furutani	1
Meiqun Hu	Ba-Quy Vuong	1
I. Cid	Daniel Glez-Pena	2
Shing Yan Lee	Kwong-Sak Leung	1
Sang-Hee Lee	Eamonn J. Keogh	1
Manfred Hauswirth	Marcel Karnstedt	1
Michael I. Jordan	Tao Li	2
Yijie Han	Yugyung Lee	1
Sumit Negi	Tanveer A. Faruquie	1
Niko Valimaki	Johannes Fischer	1
Spiros Sirmakessis	Penelope Markellou	1
Brendan Kitts	Martin Vrieze	1
Ramanathan V. Guha	Jasmine Novak	1
Patrick C. K. Hung	Benjamin C. M. Fung	1
Yuefeng Li	Raymond Y. K. Lau	1
Rodney C. Wolff	Calum Robertson	1
Guy M. Lohman	Debabrata Dash	1
Hannu Toivonen	Johanna Tikanmaki	1
Ramarathnam Venkatesan	Raja Sripada	1
Carles Farre	Ernest Teniente	1
Stefan Wrobel	Tobias Scheffer	2
Ben Kao	Wang Kay Ngai	1
Chiranjib Bhattacharyya	J. Saketha Nath	1
Lei Guo	Yihong Eric Zhao	1
Dennis Norgaard	Rasmus Kaae	1
Todd Eavis	Ahmad Taleb	1
Shengli Sheng	Nazim H. Madhavji	1
Zifang Huang	Xiaofeng Zhu	1
Vanja Josifovski	Donald Metzler	1
George Kollios	Yufei Tao	1
Zheng Chen	Leefeng Chien	1
Matthias Renz	Andreas Zufle	1
Martin Lorenz	Hagen Langer	1
Rich Caruana	Daria Sorokina	1
Vishal S. Batra	L. Venkata Subramaniam	1
Edleno Silva de Moura	Pavel Calado	1
Giancarlo Raiconi	Lara De Vinco	1
Jun He	Wenbo Li	1
Weifa Liang	Maria E. Orlowska	1
Koji Hino	Yun Chi	2
Jiawei Han	Yizhou Sun	2
Jin Dong	Wen Jun Yin	1
Takashi Washio	Kouzou Ohara	1
Heikki Mannila	Kalle Korpiaho	1
Andrew Connolly	Brigham Anderson	1
Jiawei Han	Kevin Chen-Chuan Chang	3
Bohai Yang	Shenghua Bao	1
Ji-Rong Wen	Seung-won Hwang	1
Vincent Miller	Christ Wynne	1
Nikos Ntarmos	Christian Zimmer	1
Shinji Kawasoe	Setsuo Arikawa	1
Philippe Lamarre	Jorge-Arnulfo Quiane-Ruiz	1
Anil K. Jain	Yi Liu	1
Shinji Kawasoe	Kenji Abe	1
Ji-Rong Wen	Mingjie Zhu	3
Kirk Scott	William Perrizo	1
Kris Brijs	Koen Vanhoof	1
Haixun Wang	Sheng Ma	5
Dan Wu	Daqing He	1
Ertem Tuncel	Hakan Ferhatosmanoglu	1
Ho Chung Wu	K. L. Kwok	1
Hua Li	Rafael Alonso	3
Jesus Vegas	Jose Manuel Cantera	1
Yuefeng Li	Wanzhong Yang	1
S. Phineas Upham	Vasileios Kandylas	1
Nathan Nan Liu	Martin Scholz	1
Cesar Llamas	Mario Arias	1
Shen-Shyang Ho	Ashit Talukder	1
Benyu Zhang	QianSheng Cheng	1
Varun Mithal	Vipin Kumar	1
Yong Cao	Zaiqing Nie	1
Marios Hadjieleftheriou	Aris Anagnostopoulos	1
Yihong Gong	Dingding Wang	1
Xin Zheng	Tie-Yan Liu	1
Zhilin Feng	Xiaoming Liu	1
Panagiotis G. Ipeirotis	Anindya Ghose	1
Galileo Namata	Ben Shneiderman	1
Gautam Das	Gopal Renganathan	1
