author1	author2	#coauthor
Arnaud Soulet	Loick Lhote	1
Yuji Matsumoto	Taku Kudo	1
Martti Juhola	Tuomo Korenius	1
David Maxwell Chickering	Christopher Meek	1
Jin-yi Cai	Hui Xiong	1
Fei Wang	Yangqiu Song	1
Matthias Renz	Peer Kroger	2
Giancarlo Raiconi	Giuseppe Longo	1
Yan Zhao	Rob Laubacher	1
Jen Que Louie	Tom Kraay	1
Reza Sadri	Jafar Adibi	1
Vincent C. S. Lee	Shuguo Han	1
Aravind Yalamanchi	Chuck Freiwald	1
Srivatsava Daruru	Nena M. Marin	1
Shantanu Godbole	Kevin English	1
Di Yang	Matthew O. Ward	1
Basim A. Majeed	Trevor P. Martin	1
Chun Chen	Ziyu Guan	1
Peter Andreae	Daniel Crabtree	1
Ramesh C. Agarwal	Vipin Kumar	2
Olivier Verscheure	Lisa Amini	1
Daxin Jiang	Qi He	1
King-Ip Lin	Gopal Renganathan	1
Jesus Vegas	Alvaro Zubizarreta	1
Deborah S. Gross	Stephen J. Wright	1
Gui-Rong Xue	Wensi Xi	3
Yuzuru Fujiwara	Hanxiong Chen	1
Rongqing Lu	Keke Chen	1
Prem Melville	Saharon Rosset	1
Ambuj K. Singh	Huahai He	2
Matthew Eric Otey	Srinivasan Parthasarathy	3
Yang Yu	Zhi-Hua Zhou	2
Xingquan Zhu	Yan Zhang	1
Enhong Chen	Qi He	1
Beng-Seuk Lee	Trevor P. Martin	1
Hannu Toivonen	Luc Dehaspe	1
Bing Liu	Shu Chen	2
Bing Liu	Hang Li	1
Robert W. P. Luk	Stephen Chi-fai Chan	1
Zhi Zhou	YongHong Tian	1
Beth Brownholtz	Pavan Kumar Vatturi	1
Hsuan-Yu Chen	Ching-Han Lin	1
Mathaus Dejori	Julien Etienne	1
Elena Zheleva	Hossam Sharara	1
Benyu Zhang	Zheng Chen	11
Shunsuke Hirose	Ryohei Fujimaki	1
John D. Holt	Soon Myoung Chung	1
Christoper Hughes	Edward Y. Chang	1
Herman Elenbaas	Thomas McGee	1
Zhu Zhang	Balaji Varadarajan	1
Feng Tao	Mohsen Farid	1
Martin Ester	Steven J. M. Jones	1
Xindong Wu	Yan Zhang	2
Olivier Verscheure	Aris Anagnostopoulos	1
Chris Jermaine	Sanjay Ranka	2
Ada Wai-Chee Fu	Men Hin Yan	1
Yehoshua Sagiv	Yaron Kanza	1
Minh Ly	Rui Xiao	1
Pengfei Shi	Jing-Yu Yang	1
Jose Renato Santos	Hisashi Nakamura	1
Sandhya Dwarkadas	Mitsunori Ogihara	1
Matthew Eric Otey	Adriano Veloso	1
Vanja Josifovski	Mayssam Sayyadian	1
Tariq Samad	Steven A. Harp	1
Guofei Jiang	Haibin Cheng	1
Dimitrios Gunopulos	Theodoros Lappas	1
Yong Ge	Ramendra K. Sahoo	1
Rui Xiao	Daniel R. Jeske	1
Talel Abdessalem	Bogdan Cautis	1
Chris Jermaine	Xiuyao Song	2
Syed Waheed	Vram Kouramajian	1
Joseph Roden	Michael Ghil	1
Hsin-Yun Huang	Yi-Cheng Chen	1
Beitao Li	Huaxin You	1
Ying Lu	Jiawei Han	1
Xi Ma	Kian-Lee Tan	1
Victor Muntes-Mulero	Mohammad Jalali	1
Kouzou Ohara	Michele Sebag	1
Shakil Ahmed	Frans Coenen	1
Jonathan L. Elsas	Vitor R. Carvalho	1
Rallis C. Papademetriou	D. A. Karras	1
Kai Ming Ting	Fei Tony Liu	1
Wan-Sup Cho	Kyu-Young Whang	1
Vincent Miller	Robert Broome	1
Kenji Yamanishi	Peter Milne	1
Fabrizio Sebastiani	Roberto Zanoli	1
Dong Zhuang	Jun Yan	1
Don M. Tucker	Allen D. Malony	1
Edleno Silva de Moura	Nivio Ziviani	1
Jian-Yun Nie	Francois Paradis	1
Amy J. Lee	Elke A. Rundensteiner	1
Abraham Bagherjeiran	Chun-Sheng Chen	1
Stefan Berchtold	Kenneth A. Ross	1
Keith Hatchard	George Karypis	1
Panos Vassiliadis	Spyros Passas	1
Albrecht Schmidt	Rasmus Kaae	1
Ross Dargahi	Jerry Fowler	1
Ashish Verma	Shantanu Godbole	1
Christos Faloutsos	Jimeng Sun	4
Christian Baumgartner	Hans-Peter Kriegel	1
Veljko M. Milutinovic	Michelangelo Diligenti	1
Mo Chen	Kwok-Yan Lam	1
Michael Fruchtl	Jurgen Kreuziger	1
Chun Jin	Yiming Yang	1
Myoung-Cheol Kim	Key-Sun Choi	1
Fei Xing	Mingjie Zhu	1
Yi Chen	Yu Guo Wang	1
Shohei Hido	Takafumi Kanamori	1
Yu Xu	Yannis Papakonstantinou	1
Samuel Kaski	Timo Honkela	1
Nikos Ntarmos	Peter Triantafillou	1
John R. Smith	Jelena Tesic	1
Lise Getoor	Hossam Sharara	1
Ravi Kothari	Vishal S. Batra	1
Peter C. Nelson	Abolfazl (Kouros) Mohammadian	1
Vincent T. Y. Ng	Robert W. P. Luk	1
Jeff Achtermann	Ashish Verma	1
James M. Kang	Christine Wennen	1
Moustafa Ghanem	Jaturon Chattratichat	1
Mohamed S. Kamel	Shady Shehata	1
Benjamin Piwowarski	Hugo Zaragoza	1
Jianchang Mao	Prabhakar Raghavan	1
Riichiro Take	Naoki Adaboshi	1
Gao Cong	Anthony K. H. Tung	3
Steven Schockaert	Martine De Cock	1
Kazumi Saito	Naonori Ueda	1
D. Cai	C. J. van Rijsbergen	1
Dino Pedreschi	Salvatore Ruggieri	1
Jian Pei	Yongtai Zhu	1
Matthijs van Leeuwen	Jilles Vreeken	2
Mehran Sahami	Ron Kohavi	1
Alexander G. Hauptmann	Rong Yan	1
Katsumi Tanaka	Tadahiko Kumamoto	1
Kazunori Yamaguchi	Satoru Kawai	1
Ramkumar Krishnan	Anh-Tuan Tran	1
Jian Pei	Philip S. Yu	4
Na Ta	Mohammed Javeed Zaki	1
Patrick Wendel	Martin Kohler	1
Kevin L. Fox	Tahia Infantes-Morris	1
Shashi Shekhar	James M. Kang	2
DongPing Fang	Tom Chiu	1
Peter F. Stadler	Martijn A. Huynen	1
Mohammad M. Masud	Latifur Khan	1
Moustafa Ghanem	Harald Huning	1
Jinbo Bi	Glenn Fung	3
Ilaria Bordino	Debora Donato	1
Min-Jae Lee	Sang-Wook Kim	1
Charu C. Aggarwal	V. V. V. Prasad	1
Edwin P. D. Pednault	E. Bibelnieks	1
Chad L. Myers	Vipin Kumar	1
Douglas H. Fisher	Alexander R. Statnikov	1
Eduardo R. Hruschka	Ricardo J. G. B. Campello	1
D. Sculley	Roberto J. Bayardo	1
Tanya Clement	Anthony Don	1
Rakesh Agrawal	Roberto J. Bayardo Jr	1
Ying Cui	Gregory C. Sharp	1
Weiqi Wang	Zhanfeng Cui	1
Douglas H. Fisher	Ioannis Tsamardinos	1
Ying Wu	Junsong Yuan	1
Julien Perez	Cecile Germain-Renaud	1
Pascal Soucy	Guy W. Mineau	1
Isaac Simmons	Anthony Tomasic	1
Daniel Kifer	Johannes Gehrke	1
Eric Reiman	Teresa Wu	2
Martin Freeman	Chanda Dharap	1
Chaitanya Komireddy	Margaret M. Burnett	1
Wee Sun Lee	Yang Dai	1
Daniel P. Dabney	Jack G. Conrad	1
Shusaku Tsumoto	Miho Ohsaki	1
Anand Sivasubramaniam	Jose E. Moreira	1
S. V. N. Vishwanathan	Alex J. Smola	1
Vipin Swarup	Kenneth Smith	1
Aomar Osmani	Emmanuel Viennet	1
Dharmendra S. Modha	Subramanyam Mallela	1
Xuehua Shen	Bin Tan	2
Jonathan R. M. Hosking	Naoki Abe	1
Naoki Abe	Alexandru Niculescu-Mizil	1
Deept Kumar	Malcolm Potts	2
Robert E. Banfield	Lawrence O. Hall	1
Stephane Lafortune	Spencer Thomas	1
Michael Ehrmanntraut	Hartmut Wittig	1
Son Dao	Brad Perry	1
Kotagiri Ramamohanarao	Srinivasan Parthasarathy	1
Paul Ogilvie	Luo Si	1
Peter M. G. Apers	Luc Bouganim	1
Haixun Wang	Wei Peng	1
Christos Faloutsos	Jean Bolot	1
Bohai Yang	Shengliang Xu	1
Ji-Rong Wen	Xiaokang Liu	1
Thomas L. Griffiths	Padhraic Smyth	1
Chunnian Liu	Jiajin Huang	1
Zhi-Hua Zhou	Fei Tony Liu	1
Pirjo Ronkainen	Gautam Das	1
Ilaria Bordino	Stefano Leonardi	1
Chung-Min Chen	Christine T. Cheng	1
Inderjit S. Dhillon	Subramanyam Mallela	2
Chotirat (Ann) Ratanamahatana	Vasileios Megalooikonomou	1
Marina Barsky	Chris Upton	1
Jinbo Bi	Kazunori Okada	1
Sanjay Ranka	Sreenath Bodagala	1
Sanjay Ranka	Christopher M. Jermaine	1
Hanghang Tong	Kensuke Onuma	1
Aijun An	Xiaohui Yu	1
Khalid Al-Kofahi	Brian Grom	1
Daniel J. Liebling	Eric Horvitz	1
Wenyin Liu	Ning Liu	1
Niki Pissinou	E. K. Park	3
Peter F. Stadler	Ivo L. Hofacker	1
Yiming Ma	Sharad Mehrotra	1
Moustafa Ghanem	Anthony Rowe	1
Jin Chen	Wynne Hsu	1
Brigham S. Anderson	Andrew W. Moore	1
Guoyang Shen	Tie-Yan Liu	1
Limin Yao	Juanzi Li	1
Razvan Stefan Bot	Xin Chen	2
Jian Xu	Wei Wang	1
Zutao Zhu	Guan Wang	1
Jouni K. Seppanen	Gemma C. Garriga	1
Rong Ge	Martin Ester	3
Jing Wu	A. Prasad Sistla	1
Hans-Peter Kriegel	Bernhard Braunmuller	1
Mounir Bechchi	Noureddine Mouaddib	1
Gerhard Weikum	Peter Triantafillou	1
Xu Ling	ChengXiang Zhai	1
Steven M. Beitzel	Angelo J. Pilotto	1
Michael Has	Brahmananda Sapkota	1
Ricardo Vilalta	Chun-Sheng Chen	1
Aya Soffer	Jason Y. Zien	1
Rong Ge	Flavia Moser	1
Tanya Clement	Loretta Auvil	1
Gyorgy J. Simon	Zhi-Li Zhang	1
James Drew	Jeffery Howard	1
Thomas Doggett	Rebecca Castano	1
Chi-Yao Tseng	Jen-Wei Huang	1
Jeremy Besson	Mohammad Al Hasan	1
Brian Grom	Chris Kreilick	1
Hao Yang	Xing Wei	1
Thomas Doggett	Nghia Tang	1
Ee-Peng Lim	Ba-Quy Vuong	1
James Cheng	Yiping Ke	3
Keith Hatchard	Eui-Hong Han	1
Mingrui Wu	Volker Tresp	1
Shashi Shekhar	Jaideep Srivastava	1
Daniel Fleder	Alan S. Abrahams	1
Zografoula Vagena	Philip S. Yu	1
Peter M. G. Apers	Henk Ernst Blok	2
Jorge Grana Gil	Francisco J. Ribadas	1
P. S. Sastry	Srivatsan Laxman	1
Stephanie Milchak	Amanda Spink	1
Wen-Lin Hsu	Sheau-Dong Lang	1
Michael S. E. Vogeley	Eric SanJuan	1
Daria Sorokina	Wesley M. Hochachka	1
Ke Wang	Benjamin C. M. Fung	3
Jing Li	Liang Sun	1
Nicholas J. Belkin	Xiao-Jun Yuan	1
Andrew Tomkins	Bo Pang	2
Scott Krieger	John V. Carlis	1
Lei Qi	Tie-Yan Liu	1
Enhong Chen	Yuanzhen Wang	1
SeungJin Lim	Zhongshan Lin	1
Qiang Yang	Tielin Chen	2
Ramesh Natarajan	E. Bibelnieks	1
Carlotta Domeniconi	James P. Rogers	1
Christoph F. Eick	Xiaojing Yuan	1
Hua Huang	Lei Zhang	1
Anand Sivasubramaniam	Ramendra K. Sahoo	1
Shamim A. Naqvi	Daniel Barbara	1
Wensi Xi	Shuicheng Yan	1
Aurora Perez	Juan Pedro Valente	1
Peter Mika	Massimiliano Ciaramita	1
S. S. Ravi	Martin Ester	1
Haoying Fu	Gordon Sun	1
James Cheng	Wilfred Ng	3
Qihong Shao	Yi Chen	2
Katsuyuki Yamazaki	Hiromitsu Fujikawa	1
Markus Ojala	Nikolaj Tatti	1
D. Sculley	Robert G. Malkin	1
Zenglin Xu	Rong Jin	1
Jingrui He	Richard Lawrence	1
Alberto H. F. Laender	Altigran Soares da Silva	4
Mario Arias	Alvaro Zubizarreta	1
Peter Spirtes	Christopher Meek	1
Chia-Yo Chang	Bruce A. Shapiro	1
Justin Zobel	Yohannes Tsegay	1
Christian Borgs	Mohammad Mahdian	1
Andreas Hapfelmeier	Alexander Kurz	1
Chris Giannella	Todd Olsen	1
Eveline Hoekx	Bart Goethals	1
James Drew	D. R. Mani	2
Dino Pedreschi	Fabio Pinelli	1
Kotagiri Ramamohanarao	Xin Geng	1
Bin Gao	QianSheng Cheng	1
Zaiqing Nie	Huajing Li	1
Timothy W. Finin	Robin McEntire	1
Tung-Hui Ku	Abdelsalam Helal	2
Aya Soffer	Andrei Z. Broder	1
Manoranjan Dash	Huan Liu	2
Chris Kelman	Ross Sparks	1
Daniel Tam	Dragomir R. Radev	1
Markus Hofmann	Kevin C. Almeroth	1
Benyu Zhang	Tao Liu	1
Theodore Johnson	Chris Volinsky	1
Patrick Glenisson	Peter Antal	1
Hong-Bin Dai	Zhi-Hua Zhou	1
Hanli Wang	Chi-Ho Tsang	1
C. L. L. Gowda	B. V. L. Narayana	1
Elio Lozano	Edgar Acuna	1
Shuiwang Ji	Betul Ceran	1
Chunyi Shi	Xiaoming Jin	1
Johannes Gehrke	Walker M. White	1
Vladimir Zbarsky	Prasad M. Deshpande	1
Christos Faloutsos	Wenjie Fu	1
Marion Crehange	Jean-Charles Lamirel	1
Christos Faloutsos	Yufei Tao	1
Tassos Argyros	Charis Ermopoulos	1
Ryan Rich	Minh Ly	1
Djamel A. Zighed	Ricco Rakotomalala	1
Ian Porteous	Alexander T. Ihler	1
Mark Steyvers	Padhraic Smyth	2
Hyoil Han	Jonathan C. Yang	1
Philip S. Yu	Eamonn J. Keogh	1
Wei Tang	Calton Pu	1
Evangelos Simoudis	Randy Kerber	1
Harry Zhang	Liangxiao Jiang	1
Timothy W. Finin	Yannis Labrou	2
Michael L. Heytens	Lars Rohrberg	1
Shipeng Yu	Volker Tresp	2
Zenglin Xu	Irwin King	2
Evangelos E. Milios	A. Nur Zincir-Heywood	1
Jiang-Ming Yang	Chunsong Wang	1
Dean P. Foster	Jing Zhou	1
Ted Younglove	Rui Xiao	1
Ralf Steinmetz	Theo Harder	1
Naoki Abe	Robert Schroko	1
Jing Li	Zheng Zhao	1
Marina Barsky	Ulrike Stege	1
Eric Reiman	Huan Liu	1
Kexiang Hu	Sharad Mehrotra	1
Gregory Buehrer	Srinivasan Parthasarathy	2
Jian-Tao Sun	Dou Shen	2
Gao Cong	Feng Pan	2
Gao Cong	Floris Geerts	1
Chengnian Sun	Hong Cheng	1
M. Butler	Ron Dolin	1
Dawei Liu	Ada Wai-Chee Fu	1
Peter Lohman	Mark Melton	1
Alistair Moffat	W. Bruce Croft	1
Chen Wang	Jian Pei	1
Murat Can Ganiz	Mooi Choo Chuah	1
Caimei Lu	Xiaohua Zhou	1
Jonathan C. Yang	Tamara A. Schwimmer	1
Ronen Feldman	Gregory Piatetsky-Shapiro	1
Kincho H. Law	Gloria T. Lau	1
Ricardo da Silva Torres	Baoping Zhang	1
Ramendra K. Sahoo	Manish Gupta	1
Yi-fang Brook Wu	Quanzhi Li	2
Vangalur S. Alagar	Fereidoon Sadri	1
Richard Maclin	Kristin P. Bennett	1
Yong Shi	Chengqi Zhang	1
Yunbo Cao	ZhaoHui Tang	1
Minghua Zhang	Wynne Hsu	1
Subramanyam Chitti	Li Xiong	1
Mario Arias	Guido Garcia	1
Philip S. Yu	Baile Shi	1
Joachim Thomas	Stefan Desloch	1
Jiang-Ming Yang	Feng Jing	1
Tzachi Rosen	Solomon Eyal Shimony	1
Ted Younglove	Douglas Holt	1
Jae Woo Lee	Won Suk Lee	1
Rui Cai	Hua Huang	1
Cory Reina	Usama M. Fayyad	2
Oren Etzioni	Alexander Yates	1
Samah Jamal Fodeh	H. D. K. Moonesinghe	1
Wisam Dakka	Kenneth R. Wood	1
Steve Webb	James Caverlee	1
Ming-Hung Hsu	Hsin-Hsi Chen	1
Benjamin Cichy	Ronald Greeley	1
Ullas Nambiar	Subbarao Kambhampati	1
Lida Li	Werner Geyer	1
Jian Xu	Wee Keong Ng	1
Jay Urbain	Ophir Frieder	1
Hong Su	Elke A. Rundensteiner	1
Christina Yip Chung	Prabhakar Raghavan	1
Fabio Aiolli	Alessandro Moschitti	1
Yasuhiro Fujiwara	Masashi Yamamuro	1
Nicolas Anciaux	Philippe Pucheral	1
Martin Ester	Obi L. Griffith	1
Chang-Tien Lu	Feng Chen	2
Claudia Perlich	Hongfei Li	1
Rohit Gupta	Blayne Field	1
Lei Chen	Jin-yi Cai	1
Cesar Llamas	Jose Manuel Cantera	1
Jianping Fan	Xintao Wu	1
Khaled Alsabti	Sanjay Ranka	2
Ken Konkel	Yiyu Yao	1
Young-Min Kim	Patrick Gallinari	1
Ken Nakayama	Satoru Kawai	1
Wenwu Lou	Guimei Liu	1
James Chen	Shawn R. Wolfe	1
Scott White	Padhraic Smyth	1
Sandeep Gupta	Jinfeng Ni	1
Weiqi Wang	Frans Coenen	1
Tong Zhang	Alexandrin Popescul	1
Wolfgang Nejdl	Ling Chen	1
Weiyi Meng	Clement T. Yu	12
Chao Liu	David Lo	1
Bugra Gedik	Ling Liu	2
Sam Yuan Sung	Sun Peng	1
Patrick Wendel	Anthony Rowe	1
Gordon V. Cormack	Thomas R. Lynam	1
Michael L. Wick	Aron Culotta	1
Ed Greengrass	Wei Fan	1
Ioannis Tsochantaridis	Francine Chen	1
Timothy W. Finin	Joel Sachs	1
Wilhelmiina Hamalainen	Matti Nykanen	1
Nitin Motgi	Joe Zachariah	1
Rong Yan	Jelena Tesic	1
Brian D. Davison	Haym Hirsh	1
Haesun Park	Cheong Hee Park	3
David Hawking	Nick Craswell	1
Dan Popovici	Mihai Stroe	1
John C. Platt	David Hecherman	1
Sara Cohen	Yaron Kanza	1
Junji Tomita	Hidekazu Nakawatase	1
Birgit Proll	Harald Sighart	1
Hongyan Liu	Xiaoyong Du	1
Julia Couto	Yi Li	1
ChengXiang Zhai	Bruce R. Schatz	1
Won-Young Kim	Ji-Woong Chang	1
Changqing Li	Tian Yu	1
Colin Fyfe	Emilio Corchado	1
Alan Hochberg	Ronald K. Pearson	1
Wensi Xi	Dou Shen	1
Cesar Llamas	Jorge Cabrero	1
Joachim Hammer	Ingo J. Timm	1
Ada Wai-Chee Fu	Weixiong Rao	1
Brendan Kitts	David Freed	1
Thomas Kamps	Peter Fankhauser	1
Duncan J. Watts	R. Dean Malmgren	1
ChengXiang Zhai	Luo Si	1
ChengXiang Zhai	Maryam Karimzadehgan	1
Changshui Zhang	Tao Li	1
Ao Feng	Alvaro Bolivar	1
Amnon Meisels	N. Liusternik	1
Deepak Agarwal	Zhengyuan Zhu	1
Vivek Bhatnagar	Hui Han	1
Borkur Sigurbjornsson	Maarten de Rijke	2
Ling Liu	Keke Chen	4
Dou Shen	Hua-Jun Zeng	2
Naoki Akaboshi	Yuuji Hotta	1
Ning Liu	Shuicheng Yan	4
Dulce B. Ponceleon	Eric W. Brown	1
ChengXiang Zhai	Bin Tan	2
Andrew B. Nobel	Wei Wang	1
Ning Ruan	Muad Abu-Ata	1
Roberto Amato	Antonino Staiano	1
Ying Cui	Xiaoli Z. Fern	1
Reba Schuller	Johannes Gehrke	1
Sanghyun Park	Sang-Wook Kim	1
Ming Jia	Xing Li	1
Doheon Lee	Myoung-Ho Kim	1
Marcos Andre Goncalves	Baoping Zhang	3
Sameer Pradhan	Kadri Hacioglu	1
Muyuan Wang	Wei-Ying Ma	1
Sanjiv K. Bhatia	Qi Yao	1
Philip S. Yu	Salvatore J. Stolfo	1
Jianping Zhang	Huan Liu	2
Thanh Tran	Haofen Wang	1
Michael R. Brent	Aaron E. Tenney	1
Paolo Palmerini	Fabrizio Silvestri	1
Shashi Shekhar	Carson Murray	1
Ke Wang	Yuelong Jiang	2
Qiankun Zhao	Xin Zheng	1
Chengxiang Zhai	Qiaozhu Mei	1
Glenn Fung	Romer Rosales	2
See-Kiong Ng	Mafruz Zaman Ashrafi	1
Mei-Ling Shyu	Rangasami L. Kashyap	1
Yiming Yang	Frank Lin	1
Stefano Cazzella	Stefano Trisolini	1
Divesh Srivastava	Dan Suciu	1
Michail Vlachos	Vassilis Athitsos	1
Mark Foresti	Difu Su	1
Zujia Xu	Jing Peng	1
Kun-Ta Chuang	Yi-Hong Chu	1
Philip S. Yu	Bianca Zadrozny	1
Sumit K. Sanghai	Deepak Verma	1
William Webber	Alistair Moffat	1
Won-Young Kim	Jiawei Han	1
Geoffrey Nunberg	Ayman Farahat	1
Ning Liu	Wen Pu	1
Rui Li	Qiang Wang	1
Ted Younglove	Minh Ly	1
Vivek Bhatnagar	Pradeep B. Teregowda	1
Ji-Rong Wen	Matthew R. Scott	1
Hongyan Liu	Hui Yang	1
Jing Li	Gene Alexander	1
Johan Hopstadius	Andrew Bate	1
Ji-Rong Wen	Hsiao-Wuen Hon	1
Pasumarti Kamesam	Paul B. Chou	1
Reba Schuller	Shai Ben-David	1
Evaggelia Pitoura	Georgia Koloniari	1
Rajeev Motwani	Ravi Kumar	1
Roberto Tagliaferri	Antonino Staiano	1
Levon Lloyd	Steven Skiena	1
Deyi Li	Osmar R. Zaiane	1
Claude Nanjo	Craig A. Knoblock	1
Bonaventura Coppola	Daniele Pighin	1
Chen Wang	Baile Shi	1
Jeff Achtermann	Indrajit Bhattacharya	1
James P. Callan	Leah S. Larkey	1
Sanjay Chawla	Pei Sun	2
Charles Perng	Tao Li	1
Xuelong Li	Dacheng Tao	2
Susan Feldman	Igor Perisic	1
Peter Peltonen	Patrik Floreen	1
Wei Dai	Rohini K. Srihari	1
Zhongzhi Shi	Yuhong Xiong	1
Ramendra K. Sahoo	Weili Wu	1
Shakil M. Khan	Aijun An	1
Michail Vlachos	Tsuyoshi Ide	1
Lizhen Qu	Iryna Gurevych	1
Min Wang	Jeffrey Scott Vitter	1
Sougata Mukherjea	L. Venkata Subramaniam	1
Jose Renato Santos	Richard R. Muntz	1
Rodrigo C. Vieira	Pavel Calado	1
Won-Gyu Lee	Chong-Sun Hwang	1
Xian Zhang	Ming Li	1
Zenglin Xu	Kaizhu Huang	2
Kiri Wagstaff	Annaka Kalton	1
Edward A. Fox	Pavel Calado	4
Zheng Liu	Lei Chen	1
Ji-Rong Wen	Zaiqing Nie	6
Min Bae	Teresa Wu	1
James P. Callan	Jaime G. Carbonell	1
C. Lee Giles	Leon Bottou	1
Nick Pinto	Altigran Soares da Silva	1
Dik Lun Lee	Baihua Zheng	1
Karin Koogan Breitman	Marco A. Casanova	1
Rajeev Rastogi	Minos N. Garofalakis	1
Dushan Z. Badal	Tore Risch	1
David Andersen	Michalis Faloutsos	1
Nicola Fanizzi	Claudia d'Amato	1
Steve Lawrence	Eric J. Glover	3
Deepak S. Turaga	ErHeng Zhong	1
Alina Beygelzimer	Sheng Ma	1
Gao Cong	Jiong Yang	1
Tetsuya Nasukawa	Razvan C. Bunescu	1
Xiangji Huang	Nick Cercone	2
Loic Martinez	Agustin Santamaria	1
Lei Chen	James J. Schauer	1
Frederic Flouvat	Jean-Marc Petit	1
Andrey Gorin	Gong-Xin Yu	1
Benyu Zhang	Hua Li	2
Alan F. Karr	Xiaodong Lin	1
David Selinger	Paat Rusmevichientong	1
Hai Wang	Ji Zhang	1
Jeff Achtermann	Shantanu Godbole	1
Raghu Machiraju	Srinivasan Parthasarathy	1
Thomas H. Hinke	Heggere S. Ranganath	1
Robert Krovetz	Secil Ugurel	1
Antonio S. Cheng	Allen Quoc-Luan Tran	1
Ian Porteous	Arthur Asuncion	1
S. C. Chang	Reind P. van de Riet	1
Ben Kao	Brad Adelberg	1
Edward A. Fox	Weiguo Fan	3
John C. Platt	Mehran Sahami	1
Bruce G. Buchanan	John M. Aronis	1
Dan Suciu	Guy Jacobson	1
Klaus-Dieter Althoff	Meike Reichle	1
C. Lee Giles	Omid Madani	1
Kumar V. Vadaparty	Tomasz Imielinski	1
Peter Jackson	Alex Tyrrell	1
Christine H. Chih	Douglass S. Parker	1
Amir M. Zarkesh	Jafar Adibi	1
Jonathan D. Becher	Dee Jay Randall	1
Mike Hoskins	Robert Grossman	1
Dan Suciu	Balachander Krishnamurthy	1
Ilya Vladimirskiy	Akrivi Vlachou	1
Guan Wang	Zhouxuan Teng	1
Xiaodan Song	Dengyong Zhou	1
Claudia Plant	Jia-Yu Pan	1
Meera Jindal	Mohamed F. Mokbel	1
Nicholas Lester	Hugh E. Williams	1
Spiros Sirmakessis	George Mayritsakis	1
Wenyin Liu	Zheng Chen	1
Xueqi Cheng	Bin Wang	2
Amynmohamed Rajan	Nebojsa Stefanovic	1
Dmitry Pavlov	Byron Dom	1
David C. Brown	Elke A. Rundensteiner	2
C. C. Tchoyoson Lim	Cheng Kiang Lee	1
Amynmohamed Rajan	Yongjian Fu	1
Ruofei Zhang	Jianchang Mao	1
Evangelos E. Kotsifakos	Yannis Theodoridis	1
Muhammad Atif Tahir	Jim E. Smith	1
Xiaodong Lin	Xingquan Zhu	1
Mathaus Dejori	Dmitriy Fradkin	1
Jon Sticklen	Haibin Cheng	1
Alberto Lavelli	Roberto Zanoli	1
Mohamed S. Kamel	Masoud Makrehchi	1
Benjamin W. Tam	David Wai-Lok Cheung	1
Hiroyuki Kawano	Shohei Hido	1
Farzin Maghoul	Chi-Chao Chang	1
Yinglung Liang	Hui Xiong	1
James W. Cooper	Arnon Amir	1
Richard R. Muntz	Yirong Yang	1
Ruben H. Zamar	Kjell P. Konis	1
Dongtao Li	Jianshu Weng	1
Mark J. Embrechts	Kristin P. Bennett	1
Chengwen Liu	Clement T. Yu	1
Ada Wai-Chee Fu	Hongxing He	1
Spiros Likothanassis	Dimitris Meretakis	2
Jeffrey F. Naughton	Michael Watzke	1
Minos N. Garofalakis	Xibei Jia	1
Xiaohua Hu	Xiaodan Zhang	4
Vincent T. Y. Ng	David Wai-Lok Cheung	1
Jian Chih Ou	Ming-Syan Chen	1
Tze-Yun Leong	Rohit Joshi	1
Hiroyuki Toda	Norihito Yasuda	1
Bin Gao	Lei Qi	1
David Andersen	B. Aditya Prakash	1
Edgar Sommer	Werner Emde	1
Shlomo Geva	Calum Robertson	1
Krishna Bharat	Bay-Wei Chang	1
Mario-A. Sanchez-Martinez	Victor Muntes-Mulero	1
Amynmohamed Rajan	Jenny Chiang	1
Jagannathan Srinivasan	Chuck Freiwald	1
Stefano Spaccapietra	Christine Parent	1
Mohammed J. Zaki	Mohammad Al Hasan	1
Michail Vlachos	Vagelis Hristidis	1
Stanley Y. W. Su	Tsae-Feng Yu	1
Richard Kuntschke	Alfons Kemper	1
Mike P. Papazoglou	Nick Russell	1
Stephen Robertson	Michael J. Taylor	1
Chunnian Liu	Yiyu Yao	1
Beat Signer	Corsin Decurtins	1
Suk-Chung Yoon	E. K. Park	4
Sheila Tejada	Craig A. Knoblock	1
Jiashun Jin	Murat Kantarcioglu	1
Divesh Srivastava	Dhiman Barman	1
Vladimir Vapnik	Harris Drucker	1
Rong Jin	Paul Ogilvie	1
Canasai Kruengkrai	Chuleerat Jaruskulchai	1
Wenyin Liu	Benyu Zhang	1
Jian-Tao Sun	Xuanhui Wang	2
Mark Steyvers	Chaitanya Chemudugunta	1
Bing Liu	Gao Cong	1
Mohammed J. Zaki	Adriano Veloso	1
Yixin Chen	Aaron E. Tenney	1
Pablo A. Roberto	Marcos Andre Goncalves	1
Michael Guppenberger	Burkhard Freitag	1
Peter Lohman	Brad Harvey	1
Tommi Karkkainen	Timo Leino	1
Ah-Hwee Tan	Jamie Ng	1
Aleksander Kolcz	Joshua Alspector	1
George Karypis	Ying Zhao	2
Philip L. Tilker	Charles L. A. Clarke	1
Terence R. Smith	Amr El Abbadi	2
Diane J. Cook	Edwin O. Heierman III	1
Ying Li	Zheng Chen	1
Yuefeng Li	Peter Bruza	1
